StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2_Browser,Q1.2_Version,Q1.2_Operating System,Q1.2_Resolution,Q2.1,Q4.2_First Click,Q4.2_Last Click,Q4.2_Page Submit,Q4.2_Click Count,Q5.3_First Click,Q5.3_Last Click,Q5.3_Page Submit,Q5.3_Click Count,Q6.3_First Click,Q6.3_Last Click,Q6.3_Page Submit,Q6.3_Click Count,Q7.2_1,Q7.3_1,Q7.4,Q7.4_DO,Q7.5,Q7.5_DO,Q7.6,Q7.7,Q7.7_DO,Q7.8,Q7.8_DO,Q7.9,Q7.9_DO,Q7.10_First Click,Q7.10_Last Click,Q7.10_Page Submit,Q7.10_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q9.2_First Click,Q9.2_Last Click,Q9.2_Page Submit,Q9.2_Click Count,mturk_completion_code,Q_TotalDuration,city,state,zip,FL_7_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Mechanical Turk Worker ID,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,Do you live in Los Angeles County?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please respond to the following statements. - I find this article credible.,Click to write the question text - How important is it to address the pollution issue addressed in the article?,What is the cost to the shipping industry over the next decade to comply with the new rules?,What is the cost to the shipping industry over the next decade to comply with the new rules? - Display Order,"According to the article, what is *currently* the primary source of smog-forming pollution in the state?","According to the article, what is *currently* the primary source of smog-forming pollution in the state? - Display Order",Which of the following is NOT one of the major negative health outcomes of air pollution as mentioned in the article?,Which of the following reasons is NOT a reason why establishing and enforcing a new shore power rules for ships will be difficult?,Which of the following reasons is NOT a reason why establishing and enforcing a new shore power rules for ships will be difficult? - Display Order,Which statement best describes the shipment industry’s attitude toward state regulators' plan to reduce smoke-causing pollutants?,Which statement best describes the shipment industry’s attitude toward state regulators' plan to reduce smoke-causing pollutants? - Display Order,"According to the article, who currently bears the highest cost of pollution?","According to the article, who currently bears the highest cost of pollution? - Display Order",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If you won the bonus raffle for $100, how much of your winnings would you like to donate toward reducing air pollution?

 
By completing this survey, you will be entered to win a $100 bonus. It is not a hypothetical scenario, but a real raffle that you'll be eligible for! Now, if you win this free money and if you agree, we will donate a portion of the bonus on your behalf and pay you the rest.



Enter a number between $0 and $100, where 0 means you will not donate anything and 100 means you'll donate everything.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mturk_completion_code,Q_TotalDuration,city,state,zip,FL_7 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID64_BROWSER""}","{""ImportId"":""QID64_VERSION""}","{""ImportId"":""QID64_OS""}","{""ImportId"":""QID64_RESOLUTION""}","{""ImportId"":""QID65""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID10_FIRST_CLICK""}","{""ImportId"":""QID10_LAST_CLICK""}","{""ImportId"":""QID10_PAGE_SUBMIT""}","{""ImportId"":""QID10_CLICK_COUNT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_DO""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_DO""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_DO""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID7_FIRST_CLICK""}","{""ImportId"":""QID7_LAST_CLICK""}","{""ImportId"":""QID7_PAGE_SUBMIT""}","{""ImportId"":""QID7_CLICK_COUNT""}","{""ImportId"":""mturk_completion_code""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""city""}","{""ImportId"":""state""}","{""ImportId"":""zip""}","{""ImportId"":""FL_7_DO""}"
2020-03-15 14:45:55,2020-03-15 14:46:06,IP Address,66.177.64.130,20,11,False,2020-03-22 14:46:31,R_1hSf3bcIJNi8UFY,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10.346,0,368464,11,Jacksonville,FL,32277,Article-LA
2020-03-15 14:49:43,2020-03-15 14:55:44,IP Address,99.135.45.101,32,360,False,2020-03-22 14:56:00,R_1Fy918Ys24uRxsX,,,,,,,anonymous,EN,,,,,,,,,,,0,0,352.312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.638,0,858985,360,Miami,FL,33173,Article-LA
2020-03-15 15:05:37,2020-03-15 15:06:22,IP Address,165.231.210.190,32,45,False,2020-03-22 15:07:00,R_1eruCf59Ttj5zFx,,,,,,,anonymous,EN,,,,,,,,,,,0.823,14.994,16.675,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,5.407,6.331,3,890212,45,Dallas,TX,75202,Article-LA
2020-03-23 20:59:20,2020-03-23 21:00:08,IP Address,71.193.28.149,46,47,False,2020-03-30 21:00:47,R_1jdnLXCkTtdAX3A,,,,,,,anonymous,EN,A2VTY63L3RN75V,Chrome,80.0.3987.149,Windows NT 10.0,1280x720,Yes,1.168,7.071,10.307,9,0.971,15.869,16.471,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864970,47,Sacramento,CA,95823,Article-LA
2020-03-23 21:00:20,2020-03-23 21:02:27,IP Address,205.169.57.77,92,126,False,2020-03-30 21:02:53,R_9YVoYgsfsk7x6gh,,,,,,,anonymous,EN,AIL483ULDFJ6V,Chrome,80.0.3987.149,Windows NT 10.0,1366x768,Yes,7.927,9.447,28.027,5,0,0,23.803,0,,,,,7,5,About $1 million,About $1 million|Over $2 billion|I don't know|About $1 billion|Over $14 billion,Ships that not been retrofitted to run on the city electrical grid,Heavy-duty diesel trucks|I don't know|Ships that not been retrofitted to run on the city electrical grid|Cars|Power plants generating electricity,Early death,The state lacks resources to sufficiently enforce or audit the compliance with the law,The shipping industry protests that the proper equipment to comply with the law is costly|The state lacks resources to sufficiently enforce or audit the compliance with the law|Installing the necessary equipment across many ships in the industry can take long|I don't know|Plugging a ship into shore power requires many workers and several hours,"The industry will be slow to adapt, but can reach 100% compliance by 2030.","A new and strict regulation may be too costly for the industry.|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|The industry will be slow to adapt, but can reach 100% compliance by 2030.|The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|I don't know","State government, in terms of law enforcement and auditing fees","State government, in terms of law enforcement and auditing fees|Residents who live near the port, in terms of negative health impacts.|Shipping industry, in terms of equipment installation fees for all large ships|I don't know|Port authorities, in terms of infrastructure installed for onshore power supplies",4.439,45.832,48.051,10,50,4.975,4.975,11.635,1,,,,,892465,126,Orlando,FL,32804,Article-LA
2020-03-23 21:01:24,2020-03-23 21:02:53,IP Address,173.239.198.237,35,88,False,2020-03-30 21:03:32,R_bNwgvpZKH8fvK01,,,,,,,anonymous,EN,A5UFRAR1C47OR,Chrome,80.0.3987.149,Windows NT 10.0,1280x720,Yes,42.768,42.768,59.135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162298,88,San Jose,CA,95141,Article-LA
2020-03-23 21:03:14,2020-03-23 21:03:20,IP Address,107.185.127.204,35,5,False,2020-03-30 21:03:52,R_2YmnnZoCTaJlt3U,,,,,,,anonymous,EN,AHR3VFB6XCP1L,Chrome,80.0.3987.149,Windows NT 10.0,1920x1080,Yes,0,0,1.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813042,5,Bell Gardens,CA,90201,Article-NewYork
2020-03-23 21:02:39,2020-03-23 21:03:07,IP Address,108.219.12.36,35,27,False,2020-03-30 21:03:55,R_4UzvPJ3rTJG9bdD,,,,,,,anonymous,EN,A2RNCA7PK35LHT,Chrome,80.0.3987.158,CrOS x86_64 12739.105.0,1366x768,Yes,0,0,17.591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283479,27,Watsonville,CA,95076,Article-LA
